ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	195	193	195	194	195	194	196
2	196	194	196	195	196	17	197
3	197	195	197	196	197	195	198
4	198	196	198	197	198	196	199
5	199	197	199	198	199	197	200
6	200	198	200	199	200	198	201
7	201	199	201	200	201	199	202
8	201	200	202	201	202	199	203
9	202	201	203	202	203	200	204
10	203	202	204	203	204	201	205
11	204	203	205	204	205	202	206
12	205	204	206	205	206	203	207
13	206	205	207	206	207	204	208
14	207	206	208	207	208	205	209
15	208	207	209	208	209	206	210
