ST	adk	atpG	frdB	fucK	mdh	pgi	recA	
81	10	14	4	5	44	7	8	
82	5	15	10	1	8	5	11	
83	10	14	4	14	4	7	8	
84	29	7	13	1	45	13	1	
85	30	2	15	7	22	38	3	
86	5	15	10	9	8	39	11	
87	21	19	9	7	12	20	18	
88	1	8	1	14	22	14	5	
89	10	1	5	7	4	7	8	
90	4	20	8	5	4	7	8	
91	30	2	15	7	22	13	3	
92	10	14	4	5	4	7	28	
93	6	30	23	1	33	29	7	
94	10	14	21	5	4	7	8	
95	31	14	4	5	4	7	8	
96	16	14	4	5	4	7	8	
97	1	1	4	5	4	7	8	
98	14	7	13	15	17	13	1	
99	5	33	7	1	22	41	29	
100	10	14	4	27	4	7	8	
