ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
1	1	1	1	14	15	1	5	ST-3 complex
2	14	7	1	15	16	4	1	ST-422 complex
3	1	1	1	1	1	1	5	ST-3 complex
4	4	17	4	1	2	9	6	
5	12	5	5	2	3	11	7	ST-23 complex
6	10	14	4	5	4	7	8	ST-6 complex
7	7	11	6	6	6	16	9	ST-7 complex
8	7	11	6	7	6	10	10	ST-7 complex
9	7	11	6	8	6	16	9	ST-7 complex
10	5	15	10	9	8	5	11	ST-10 complex
11	1	8	1	14	9	14	13	ST-11 complex
12	1	1	1	13	13	25	16	ST-12 complex
13	3	9	8	4	14	8	4	ST-105 complex
14	5	1	1	1	1	2	5	ST-3 complex
15	22	6	11	11	12	18	15	ST-123 complex
16	22	6	11	12	1	18	15	ST-123 complex
17	18	6	3	10	11	28	14	ST-18 complex
18	18	6	3	7	10	28	12	ST-18 complex
19	7	11	6	6	18	16	9	ST-7 complex
20	21	13	9	7	19	24	19	
