ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
101	33	14	4	5	4	7	8	ST-6 complex
102	1	1	1	1	50	42	5	ST-3 complex
103	1	1	1	14	9	14	13	ST-11 complex
104	18	14	29	9	4	28	8	
105	3	9	8	2	14	8	4	ST-105 complex
106	22	19	11	11	22	40	15	ST-124 complex
107	33	8	16	16	49	2	3	ST-107 complex
108	1	14	4	5	4	7	8	ST-6 complex
109	33	14	1	14	4	1	21	
110	10	14	23	5	22	7	8	ST-6 complex
111	38	36	36	11	56	46	18	
112	3	9	8	31	14	8	4	ST-105 complex
113	40	3	38	1	15	40	21	ST-1426 complex
114	3	20	21	5	4	7	8	ST-6 complex
115	6	20	23	30	33	29	7	ST-222 complex
116	6	20	23	34	33	29	7	ST-222 complex
117	10	14	4	3	4	7	8	ST-6 complex
118	10	14	4	5	4	7	22	ST-6 complex
119	10	14	4	5	4	47	8	ST-6 complex
120	10	14	5	7	57	7	8	ST-6 complex
