ST	adk	atpG	frdB	fucK	mdh	pgi	recA	
181	14	44	15	1	22	1	5	
182	40	3	38	1	35	67	21	
183	14	44	1	1	22	1	5	
184	45	45	48	9	26	58	18	
185	7	20	42	8	66	1	29	
186	14	7	16	8	46	21	1	
187	5	33	7	32	26	41	29	
188	22	19	11	11	83	19	15	
189	10	14	4	5	84	7	8	
190	10	14	4	5	85	7	8	
191	46	18	53	15	86	14	23	
192	26	4	17	1	79	3	23	
193	17	1	1	14	61	1	5	
194	30	20	41	18	48	63	43	
195	2	1	1	1	1	21	5	
196	14	8	18	11	17	2	3	
197	52	1	1	14	15	62	37	
198	5	33	7	15	87	68	29	
199	6	20	41	40	88	63	43	
200	42	8	7	41	17	14	10	
