ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
81	10	14	4	5	44	7	8	ST-6 complex
82	5	15	10	1	8	5	11	ST-10 complex
83	10	14	4	14	4	7	8	ST-6 complex
84	29	7	13	1	45	13	1	ST-84 complex
85	30	2	15	7	22	38	3	ST-472 complex
86	5	15	10	9	8	39	11	ST-10 complex
87	21	19	9	7	12	20	18	
88	1	8	1	14	22	14	5	ST-11 complex
89	10	1	5	7	4	7	8	ST-6 complex
90	4	20	8	5	4	7	8	ST-6 complex
91	30	2	15	7	22	13	3	ST-472 complex
92	10	14	4	5	4	7	28	ST-6 complex
93	6	30	23	1	33	29	7	ST-222 complex
94	10	14	21	5	4	7	8	ST-6 complex
95	31	14	4	5	4	7	8	ST-6 complex
96	16	14	4	5	4	7	8	ST-6 complex
97	1	1	4	5	4	7	8	ST-6 complex
98	14	7	13	15	17	13	1	ST-57 complex
99	5	33	7	1	22	41	29	ST-584 complex
100	10	14	4	27	4	7	8	ST-6 complex
