ST	adk	atpG	frdB	fucK	mdh	pgi	recA	
61	21	12	9	4	5	20	18	
62	21	12	9	7	19	24	19	
63	22	19	11	11	35	32	15	
64	23	20	21	5	4	7	8	
65	24	26	24	21	36	33	21	
66	18	6	3	11	10	28	12	
67	18	6	3	7	25	28	12	
68	18	6	26	7	10	28	12	
69	18	6	3	22	10	28	12	
70	25	20	24	24	38	34	25	
71	25	20	28	23	39	34	25	
72	25	20	28	14	40	34	25	
73	25	20	28	24	39	35	25	
74	25	20	24	18	38	34	25	
75	25	20	29	24	39	35	25	
76	26	20	30	24	36	36	25	
77	28	29	32	18	42	34	27	
78	10	14	4	5	22	7	8	
79	10	14	5	25	4	7	8	
80	10	14	5	7	43	7	8	
