ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
181	14	44	15	1	22	1	5	ST-183 complex
182	40	3	38	1	35	67	21	ST-1426 complex
183	14	44	1	1	22	1	5	ST-183 complex
184	45	45	48	9	26	58	18	
185	7	20	42	8	66	1	29	ST-242 complex
186	14	7	16	8	46	21	1	ST-422 complex
187	5	33	7	32	26	41	29	ST-584 complex
188	22	19	11	11	83	19	15	ST-124 complex
189	10	14	4	5	84	7	8	ST-6 complex
190	10	14	4	5	85	7	8	ST-6 complex
191	46	18	53	15	86	14	23	ST-266 complex
192	26	4	17	1	79	3	23	ST-519 complex
193	17	1	1	14	61	1	5	ST-3 complex
194	30	20	41	18	48	63	43	ST-199 complex
195	2	1	1	1	1	21	5	ST-3 complex
196	14	8	18	11	17	2	3	
197	52	1	1	14	15	62	37	
198	5	33	7	15	87	68	29	ST-210 complex
199	6	20	41	40	88	63	43	ST-199 complex
200	42	8	7	41	17	14	10	
