ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
281	55	11	16	14	102	7	3	ST-390 complex
282	10	14	5	44	4	7	8	ST-6 complex
283	57	14	5	7	4	7	8	ST-6 complex
284	10	14	5	7	4	7	51	ST-6 complex
285	37	3	23	1	7	65	52	
286	26	50	22	15	30	40	3	ST-262 complex
287	10	14	10	41	79	7	10	
288	59	20	23	1	33	29	7	ST-222 complex
289	10	14	5	44	4	29	8	ST-6 complex
290	10	14	5	44	4	79	8	ST-6 complex
291	10	14	69	44	4	7	8	ST-6 complex
292	10	14	5	7	4	7	7	ST-6 complex
293	58	20	23	1	33	29	7	ST-222 complex
294	6	20	23	45	33	29	7	ST-222 complex
295	6	20	5	1	33	29	23	ST-222 complex
296	10	14	5	12	4	89	8	ST-6 complex
297	6	20	23	7	33	29	7	ST-222 complex
298	45	34	66	1	105	44	1	ST-2118 complex
299	6	20	23	45	33	88	7	ST-222 complex
300	10	14	5	44	4	7	51	ST-6 complex
