ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
201	33	8	8	16	1	2	3	ST-107 complex
202	26	17	8	1	4	57	8	ST-249 complex
203	52	1	1	14	89	62	37	
204	42	2	22	2	71	8	4	ST-163 complex
205	40	1	1	14	61	69	5	ST-487 complex
206	10	14	4	1	4	7	8	ST-6 complex
207	1	24	18	18	62	1	5	ST-836 complex
208	5	33	7	15	16	4	29	ST-210 complex
209	32	20	21	5	4	7	8	ST-6 complex
210	5	33	7	15	87	58	29	ST-210 complex
211	47	2	19	11	94	54	37	
212	48	46	31	11	95	70	45	
213	43	1	46	1	30	38	18	
214	6	43	1	7	77	71	43	ST-652 complex
215	1	1	54	14	98	1	5	ST-3 complex
216	32	20	21	5	99	7	8	
217	10	14	4	4	4	7	8	ST-6 complex
218	32	20	1	5	4	7	8	ST-6 complex
219	53	20	21	5	4	7	8	ST-6 complex
220	10	14	4	42	4	7	8	ST-6 complex
