ST	adk	atpG	frdB	fucK	mdh	pgi	recA	
41	17	4	17	1	7	12	11	
42	2	24	18	18	27	1	5	
43	1	22	19	19	32	17	2	
44	10	14	4	3	4	3	8	
45	6	20	20	1	33	29	7	
46	1	25	1	14	15	1	5	
47	5	15	7	9	7	5	11	
48	5	15	10	15	8	5	11	
49	5	15	10	8	8	5	11	
50	6	20	23	1	33	29	23	
51	7	2	6	6	6	16	9	
52	7	6	3	7	10	27	10	
53	10	14	5	7	4	7	8	
54	10	14	22	5	4	7	22	
55	10	14	4	5	4	31	8	
56	13	16	5	18	3	11	7	
57	14	7	13	7	17	13	17	
58	14	20	6	8	6	16	21	
59	20	12	1	8	20	23	19	
60	20	12	21	20	34	30	19	
