ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
41	17	4	17	1	7	12	11	ST-41 complex
42	2	24	18	18	27	1	5	ST-836 complex
43	1	22	19	19	32	17	2	
44	10	14	4	3	4	3	8	ST-6 complex
45	6	20	20	1	33	29	7	ST-222 complex
46	1	25	1	14	15	1	5	ST-3 complex
47	5	15	7	9	7	5	11	ST-10 complex
48	5	15	10	15	8	5	11	ST-10 complex
49	5	15	10	8	8	5	11	ST-10 complex
50	6	20	23	1	33	29	23	ST-222 complex
51	7	2	6	6	6	16	9	ST-7 complex
52	7	6	3	7	10	27	10	ST-18 complex
53	10	14	5	7	4	7	8	ST-6 complex
54	10	14	22	5	4	7	22	ST-6 complex
55	10	14	4	5	4	31	8	ST-6 complex
56	13	16	5	18	3	11	7	ST-23 complex
57	14	7	13	7	17	13	17	ST-57 complex
58	14	20	6	8	6	16	21	
59	20	12	1	8	20	23	19	
60	20	12	21	20	34	30	19	
