ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
121	18	6	3	10	10	28	14	ST-18 complex
122	18	6	3	18	10	28	12	ST-18 complex
123	22	6	11	12	58	18	15	ST-123 complex
124	22	19	11	11	22	19	15	ST-124 complex
125	22	19	11	11	22	28	15	ST-124 complex
126	22	19	11	11	22	19	35	ST-124 complex
127	40	6	3	18	10	28	12	ST-18 complex
128	23	14	39	5	4	7	20	ST-6 complex
129	18	6	3	33	10	28	12	ST-18 complex
130	31	14	4	11	4	7	8	ST-6 complex
131	1	1	38	1	60	42	5	ST-3 complex
132	1	1	40	14	61	1	5	ST-389 complex
133	29	7	13	1	62	13	1	ST-84 complex
134	1	1	1	14	53	14	13	ST-11 complex
135	1	1	1	1	1	1	40	ST-3 complex
136	1	1	1	1	67	42	5	ST-3 complex
137	1	1	1	1	73	1	5	ST-3 complex
138	1	1	1	10	76	1	5	ST-3 complex
139	1	1	1	14	45	14	21	ST-139 complex
140	1	1	1	14	70	1	37	ST-3 complex
