ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
21	20	12	1	7	20	23	19	
22	9	14	12	3	4	3	8	
23	13	16	5	2	3	11	7	ST-23 complex
24	10	14	4	5	4	7	20	ST-6 complex
25	20	12	2	1	21	23	19	
26	22	18	11	11	22	19	15	ST-124 complex
27	18	6	3	8	23	28	19	ST-18 complex
28	18	6	3	7	24	28	19	ST-18 complex
29	22	19	11	9	22	19	15	ST-124 complex
30	20	12	25	7	20	23	19	
31	10	14	5	7	26	22	8	
32	19	6	3	10	10	28	14	ST-18 complex
33	1	10	1	1	1	6	5	ST-3 complex
34	11	2	15	8	28	26	3	ST-34 complex
35	8	27	27	7	37	15	24	
36	16	21	14	16	29	14	3	
37	14	7	13	4	1	21	1	ST-422 complex
38	10	2	15	17	26	26	3	ST-396 complex
39	15	23	16	16	30	1	3	ST-155 complex
40	1	3	1	1	31	1	5	ST-3 complex
