ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
161	41	8	29	9	68	57	8	ST-1477 complex
162	42	2	49	2	71	8	4	ST-163 complex
163	42	9	8	2	62	8	4	ST-163 complex
164	43	1	46	7	72	1	23	
165	44	2	16	37	17	2	3	ST-165 complex
166	46	4	17	11	54	3	34	ST-1836 complex
167	47	11	16	21	11	54	42	
168	48	41	41	8	69	60	29	ST-513 complex
169	48	41	41	8	69	51	39	ST-513 complex
170	14	7	1	30	15	21	1	ST-422 complex
171	34	4	17	1	51	3	34	ST-1836 complex
172	5	5	34	5	77	38	3	
173	42	33	32	5	4	7	8	ST-6 complex
174	1	1	46	1	79	64	23	ST-519 complex
175	1	1	1	1	1	13	5	ST-3 complex
176	5	33	7	15	47	58	29	ST-210 complex
177	6	11	51	15	80	65	44	
178	49	14	32	39	45	66	21	
179	33	43	52	7	78	28	18	
180	1	1	1	1	81	21	5	ST-3 complex
